worksheet_id,question_number,element_type,element_description,student_response,correct_answer,is_correct,notes
IMG_0792.JPG,1 (a),Place value charts,"A table with five columns and one row. Each cell of the table contains circles representing coins. Each coin has a value writen on it, related to its place value within the table. The first column on the left represents the ten thousands, the second column represents the thousands, the third column represents the hunderds , the fourth column represents the tens the fifth columns represents the ones. For example, each coin in the first column, the ten-thousands, has a value on 10000. In this exercise:
column one contains 2 coins
column two contains 5 coins
column three contains 1 coin
column four contains 6 coins
column five contains 9 coins",3 ten thousands 5 thousands 1 hundred 6 tens 9 ones,2 ten thousands 5 thousands 1 hundred 6 tens 9 ones,FALSE,Student miscounted ten-thousands column — read 3 coins instead of 2
IMG_0792.JPG,1 (a),Pure text,3 ten thousands 5 thousands 1 hundred 6 tens 9 ones,= 30000 + 5000 + 100 + 60 + 9 = 35169,,TRUE,
IMG_0792.JPG,1 (b),Place value charts,"A table with five columns and one row. Each cell of the table contains circles representing coins. Each coin has a value writen on it, related to its place value within the table. The first column on the left represents the ten thousands, the second column represents the thousands, the third column represents the hunderds, the fourth column represents the tens the fifth columns represents the ones. For example, each coin in the first column, the ten-thousands, has a value on 10000. In this exercise:
column one contains 4 coins
column two contains 0 coins
column three contains 8 coin
column four contains 2 coins
column five contains 5 coins",4 ten thousands 0 thousands 8 hundred 2 tens 5 ones,,TRUE,
IMG_0792.JPG,1 (b),Pure text,4 ten thousands 0 thousands 8 hundred 2 tens 5 ones,= 40000 + 800 + 20 + 5 = 40825,,TRUE,
IMG_0793.JPG,1 (c),Place value charts,"A table with five columns and one row. Each cell of the table contains circles representing coins. Each coin has a value writen on it, related to its place value within the table. The first column on the left represents the ten thousands, the second column represents the thousands, the third column represents the hunderds, the fourth column represents the tens the fifth columns represents the ones. For example, each coin in the first column, the ten-thousands, has a value on 10000. In this exercise:
column one contains 6 coins
column two contains 4 coins
column three contains 0 coin
column four contains 7 coins
column five contains 3 coins",6 ten thousands 4 thousands 0 hundred 7 tens 3 ones,,TRUE,
IMG_0793.JPG,1 (c),Pure text,6 ten thousands 4 thousands 0 hundred 7 tens 3 ones,= 60000 + 4000+ 70 + 3 = 64073,,TRUE,
IMG_0793.JPG,1 (d),Place value charts,"A table with five columns and one row. Each cell of the table contains circles representing coins. Each coin has a value writen on it, related to its place value within the table. The first column on the left represents the ten thousands, the second column represents the thousands, the third column represents the hunderds, the fourth column represents the tens the fifth columns represents the ones. For example, each coin in the first column, the ten-thousands, has a value on 10000. In this exercise:
column one contains 8 coins
column two contains 3 coins
column three contains 5 coin
column four contains 0 coins
column five contains 7 coins",8 ten thousands 3 thousands 5 hundred 0 tens 7 ones,,TRUE,
IMG_0793.JPG,1 (d),Pure text,8 ten thousands 3 thousands 5 hundred 0 tens 7 ones,"= 80000 + 3000+ 500 + 7 = 830,507","= 80000 + 3000+ 500 + 7 = 83,507",FALSE,
IMG_0793.JPG,2 (a),Pure text,17 thousands 8 ones,"170,008","17,008",FALSE,
IMG_0793.JPG,2 (b),Pure text,60 thousands 2 tens 9 ones,"60,029",,TRUE,
IMG_0793.JPG,2 (c),Pure text,Fifty-eight thousands and three hundreds,"58,300",,TRUE,
IMG_0794.JPG,2 (d),Pure text,"Thirty thousands, six hundreds and eighty","30,680",,TRUE,
IMG_0794.JPG,2 (e),Pure text,ninety-four thousands and seventy-three,"94,073",,TRUE,
IMG_0794.JPG,2 (f),Pure text,sixty thousands and sixty,"6,060","60,060",FALSE,
IMG_0794.JPG,3 (a),Pure text,20417,"twenty thousands, four hundred and seventeen.",,TRUE,
IMG_0794.JPG,3 (b),Pure text,45630,"fourty five thousands, six hundred and thirty.","forty five thousands, six hundred and thirty.",FALSE,"This is a spelling mistakes. In this case, the exercise is testing the ability of the student to write numbers in words."
IMG_0794.JPG,3 (c),Pure text,61905,"sixty one thousand, nine hundred and five",,TRUE,
IMG_0794.JPG,3 (d),Pure text,50708,"fivety thousand, seve hundred and eight","fifty thousand, seven hundred and eight",FALSE,"This is a spelling mistakes. In this case, the exercise is testing the ability of the student to write numbers in words."
IMG_0794.JPG,3 (e),Pure text,80090,"eighty thousand, and ninety",,TRUE,
IMG_0794.JPG,3 (f),Pure text,79006,"sevety nine thousand, and six","seventy nine thousand, and six",FALSE,"This is a spelling mistakes. In this case, the exercise is testing the ability of the student to write numbers in words."
IMG_0795.JPG,4 (a),Pure text,60000 + 3000 + 800 + 23 + 4 = _,"63,824",,TRUE,An underscore in the element description is a placeholder for the student to fill in the blank.
IMG_0795.JPG,4 (b),Pure text,50000 + 100 + 70 = _,"50,170",,TRUE,
IMG_0795.JPG,4 (c),Pure text,42930 = _ + 2000 + 900 + 30,40000,,TRUE,
IMG_0795.JPG,4 (d),Pure text,30682 = 30000 + _ + 80 - 2,600,,TRUE,
IMG_0795.JPG,4 (e),Pure text,_ = 80000 + 2000 + 600 + 4,"82,604",,TRUE,
IMG_0795.JPG,4 (f),Pure text,_ = 90000 + 700 + 50,"90,750",,TRUE,
